katamajemuk,label
rem angin,correct
sumpah pocong,correct
sumpah quran,correct
sumpah uji api,correct
tangga senigai,correct
tuan kebun,correct
tuan tanah,correct
kuasa usaha,correct
salah anggaran,correct
salah asuhan,correct
salah cetak,correct
salah ejaan,correct
salah penerimaan,correct
salah perasaan,correct
setia kawan,correct
tertib acara,correct
tertib ejaan,correct
tertib hukum,correct
tertib nikah,correct
wajib bela diri,correct
wajib belajar,correct
wajib latih,correct
wajib militer,correct
wajib pajak,correct
wajib sarjana,correct
wajib uji,correct
obat angin,correct
obat batuk,correct
obat cacing,correct
obat demam,correct
obat kurap,correct
obat lali,correct
obat nyamuk,correct
obat pening,correct
obat penyakit perut,correct
obat rindu,correct
bulan madu,correct
bulan puasa,correct
hari jadi,correct
hari ulang tahun,correct
musim buah,correct
musim bunga,correct
musim dingin,correct
musim gugur,correct
musim hujan,correct
musim kemarau,correct
musim kering,correct
musim panas,correct
doa malam,correct
doa pagi,correct
kuliah sore,correct
kuliah subuh,correct
sembahyang magrib,correct
sembahyang subuh,correct
utang budi,correct
utang emas,correct
utang kepala,correct
utang nyawa,correct
jago balap,correct
jago gelut,correct
jago kepruk,correct
jago lari,correct
jago tembak,correct
jago tinju,correct
juru anggar,correct
juru api,correct
juru bahasa,correct
juru batu,correct
juru bayar,correct
juru bendungan,correct
juru berita,correct
juru bicara,correct
juru buku,correct
juru cacar,correct
juru dapur,correct
juru gambar,correct
juru gudang,correct
juru jana,correct
juru kamera,correct
juru kelat,correct
juru kerah,correct
juru khitan,correct
juru kunci,correct
juru layar,correct
juru lelang,correct
juru masak,correct
juru meriam,correct
juru minyak,correct
juru mitar,correct
juru motor,correct
juru muat,correct
juru mudi,correct
juru obat,correct
juru parkir,correct
juru peledak,correct
juru perbekalan,correct
juru peta,correct
juru rawat,correct
juru rias,correct
juru runding,correct
juru selam,correct
juru sita,correct
juru sumpit,correct
juru tafsir,correct
juru tagih,correct
juru tambak,correct
juru tanah,correct
juru tera,correct
juru terbang,correct
juru tik,correct
juru tinggi,correct
juru topografi,correct
juru tulis,correct
juru tunjuk,correct
juru ulas,correct
pandai besi,correct
pandai canai,correct
pandai emas,correct
pandai kayu,correct
pandai lukis,correct
pandai obat,correct
tukang abu gosok,correct
tukang air,correct
tukang akuarium,correct
tukang arloji,correct
tukang baso,correct
tukang batu,correct
tukang becak,correct
tukang besi,correct
tukang bodor,correct
tukang bohong,correct
tukang bonceng,correct
tukang buah,correct
tukang bubur ayam,correct
tukang canai,correct
tukang cap,correct
tukang catut,correct
tukang cetak,correct
tukang cicip,correct
tukang copet,correct
tukang cukur,correct
tukang daging,correct
tukang dendam,correct
tukang derek,correct
tukang derji,correct
tukang dongkel,correct
tukang emas,correct
tukang es,correct
tukang fitnah,correct
tukang gado-gado,correct
tukang gangsir,correct
tukang gedor,correct
tukang gerobak,correct
tukang gigi,correct
tukang godot,correct
tukang gosok,correct
tukang gudeg,correct
tukang gunting,correct
tukang hasut,correct
tukang ijon,correct
tukang ikan,correct
tukang jahit,correct
tukang jilat,correct
tukang jual,correct
tukang judi,correct
tukang kaleng,correct
tukang kapur,correct
tukang kasut,correct
tukang kayu,correct
tukang kebut,correct
tukang kembang,correct
tukang keplok,correct
tukang kepruk,correct
tukang kereta,correct
tukang kotak,correct
tukang kredit,correct
tukang kritik,correct
tukang kuda,correct
tukang kue,correct
tukang kukus nasi,correct
tukang kulkas,correct
tukang kundai,correct
tukang lampu,correct
tukang las,correct
tukang ledeng,correct
tukang listrik,correct
tukang loak,correct
tukang lumas,correct
tukang mabok,correct
tukang main piano,correct
tukang makan,correct
tukang marah,correct
tukang masak,correct
tukang minum,correct
tukang minyak,correct
tukang nebeng,correct
tukang ngamen,correct
tukang ngomel,correct
tukang nguping,correct
tukang nunut,correct
tukang nyanyi,correct
tukang obat,correct
tukang pacak,correct
tukang pajak,correct
tukang patri,correct
tukang patung,correct
tukang pedati,correct
tukang pelat,correct
tukang peras,correct
tukang perkosa,correct
tukang pos,correct
tukang potong,correct
tukang potret,correct
tukang pukul,correct
tukang pungut,correct
tukang rias,correct
tukang rokok,correct
tukang roti,correct
tukang royal,correct
tukang rumah,correct
tukang rumput,correct
tukang sabit,correct
tukang samak,correct
tukang sambar,correct
tukang sapu,correct
tukang sate,correct
tukang sayur,correct
tukang senjata,correct
tukang sepatu,correct
tukang sihir,correct
tukang sol sepatu,correct
tukang sulap,correct
tukang sundut,correct
tukang suruh,correct
tukang tadah,correct
tukang tagih,correct
tukang tambal,correct
tukang tanah,correct
tukang telepon,correct
tukang teluh,correct
tukang tembaga,correct
tukang tenung,correct
tukang terompah,correct
tukang tidur,correct
tukang tik,correct
tukang todong,correct
tukang ukur,correct
tukang ular,correct
tukang warung,correct
utas perigi,correct
cepat lidah,correct
cepat mulut,correct
cepat tangan,correct
cukup umur,correct
dalu warsa,correct
dapat hati,correct
datang bulan,correct
datang hati,correct
dingin hati,correct
dingin kepala,correct
dingin tangan,correct
dua hati,correct
enak badan,correct
enteng jodoh,correct
enteng rejeki,correct
gatal mulut,correct
gatal tangan,correct
gegar otak,correct
gelap hati,correct
gelap mata,correct
gelap pikiran,correct
geli hati,correct
gering hulu,correct
gugur hati,correct
habis akal,correct
habis jodoh,correct
habis perkara,correct
hampa tangan,correct
hangat hati,correct
hilang akal,correct
hilang arwah,correct
hilang ingatan,correct
hilang keberanian,correct
hilang pikiran,correct
hilang semangat,correct
hina budi,correct
hina pekerti,correct
iba hati,correct
iri hati,correct
jatuh colok,correct
jatuh harga,correct
jatuh hati,correct
jatuh merek,correct
jatuh nama,correct
jatuh talak,correct
jilah kening,correct
kasar tangan,correct
kebal kulit,correct
kecil hati,correct
kekok akal,correct
kelam mata,correct
kembang hati,correct
kembang tengkuk,correct
kena hati,correct
kepalang ajar,correct
keras hati,correct
keras hidung,correct
keras jangat,correct
keras kepala,correct
keras lidah,correct
keras mulut,correct
keras tulang,correct
kering darah,correct
kotor mulut,correct
kuat hati,correct
kuat iman,correct
kurang adab,correct
kurang adat,correct
kurang air,correct
kurang ajar,correct
kurang akal,correct
kurang asam,correct
kurang bahasa,correct
kurang darah,correct
kurang hati,correct
kurang ingatan,correct
kurang sinar,correct
kurang tenaga,correct
lancang mulut,correct
lancar kaji,correct
lantas akal,correct
lantas tangan,correct
lapang dada,correct
lapang hati,correct
lapang perut,correct
lebar mulut,correct
lega dada,correct
lega hati,correct
lemah hati,correct
lemah semangat,correct
lemah syahwat,correct
lemah zakar,correct
lembut hati,correct
lengah mata,correct
lepas malu,correct
lepas tangan ,correct
lepas tugas,correct
lesu darah,correct
lunak hati,correct
lunak mulut,correct
lurus akal,correct
lurus hati,correct
mahal senyuman,correct
manis mulut,correct
masak ajar,correct
masuk akal,correct
mati angin,correct
mati pucuk,correct
mati raga,correct
mati rasa,correct
mati tulang,correct
mengkal hati,correct
merah telinga,correct
muda hati,correct
murah hati,correct
murah mulut,correct
murah rejeki,correct
murah tangan,correct
naik darah,correct
naik daun,correct
naik derajat,correct
naik gaji,correct
naik hati,correct
naik kelas,correct
naik marak,correct
naik merek,correct
naik palak,correct
naik pangkat,correct
naik semangat,correct
naik setum,correct
naik tangan,correct
panas dalam,correct
panas hati,correct
panjang akal,correct
panjang lidah,correct
panjang mata,correct
panjang mulut,correct
panjang tangan,correct
panjang umur,correct
panjang untung,correct
pantas mulut,correct
pantas tangan,correct
patah hati,correct
patah kemudi,correct
patah lesu,correct
patah lidah,correct
patah nafsu,correct
patah pucuk,correct
patah selera,correct
patah siku,correct
patah tulang,correct
pecah hati,correct
pecah kulit,correct
pedih hati,correct
pendek akal,correct
pendek kaji,correct
pendek napas,correct
pendek permintaan,correct
pendek pikiran,correct
pening kepala,correct
pilu hati,correct
pulang pokok,correct
putih hati,correct
putih mata,correct
putus akad,correct
putus akal,correct
putus asa,correct
putus bicara,correct
putus harapan,correct
putus harga,correct
putus ikhtiar,correct
putus kaji,correct
putus lotere,correct
putus mupakat,correct
putus napas,correct
putus niat,correct
putus nyawa,correct
putus rejeki,correct
putus umur,correct
rambang mata,correct
rapuh hati,correct
rapuh mulut,correct
rawan hati,correct
rela hati,correct
rendah budi,correct
rendah diri,correct
rendah hati,correct
rentan hati,correct
riang mulut,correct
ringan kaki,correct
ringan kepala,correct
ringan mulut,correct
ringan tangan,correct
ringan tulang,correct
rusuh hati,correct
sakit hati,correct
sakit jantung,correct
sakit kepala,correct
salah benang,correct
salah hati,correct
salah jalan,correct
salah jawab,correct
salah kata,correct
salah kira-kira,correct
salah langkah,correct
salah urat,correct
salah wesel,correct
sama bunyi,correct
sama rupa,correct
sama ucap,correct
sampai ajal,correct
sampai hati,correct
sebal hati,correct
sedap hati,correct
sedih hati,correct
sedu hati,correct
sejuk hati,correct
sempit hati,correct
sempit kalang ,correct
sempit kening,correct
sempit pandangan,correct
senang hati,correct
serong hati,correct
sesat akal,correct
sesat barat,correct
sesat lalu,correct
sesat langkah,correct
sesat pikiran,correct
sesat pusat,correct
setengah hati,correct
setengah mati,correct
siap mental,correct
singkat akal,correct
singkat kata,correct
singkat mulut,correct
singkat pengetahuan,correct
singkat tangan,correct
suka hati,correct
tabah hati,correct
tajam akal,correct
tajam hidung,correct
tajam ingatan,correct
tajam lidah,correct
tajam lilik,correct
tawar hati,correct
tebal bibir,correct
tebal jangat,correct
tebal kulit,correct
tebal lidah,correct
tebal muka,correct
tebal telinga,correct
tegar hati,correct
teguh hati,correct
tepat waktu,correct
terang akal,correct
terang hati,correct
tetap hati,correct
tinggi hati,correct
tinggi rejeki,correct
tipis harapan,correct
tipis telinga,correct
turun darah,correct
turun harga,correct
turun merek,correct
turun pangkat,correct
turun tangan,correct
walang hati,correct
waswas hati,correct
hidung belang,correct
hidung putih,correct
jarak jauh,correct
kain kotor,correct
kepala berat,correct
kepala dingin,correct
kepala dua,correct
kepala lengar,correct
kepala ringan,correct
mata dekat,correct
mata duitan,correct
mata gelap,correct
mata jauh,correct
mata luyu,correct
mata luyut,correct
mata mamang,correct
mata panjang,correct
mata ragum,correct
mata rambang,correct
mata ruyup,correct
mata sepet,correct
mata tolak raih,correct
mulut bisa,correct
mulut busuk,correct
mulut gatal,correct
mutut kotor,correct
mulut manis,correct
mulut tajam,correct
perut busuk,correct
tangan naik,correct
telinga tipis,correct
adu buku tangan,correct
adu cepat,correct
adu kening,correct
adu kuat,correct
adu lidah,correct
adu pendapat,correct
adu tenaga,correct
adu ujung jarum,correct
adu jari,correct
adu untung,correct
adu upaya,correct
alih kecek,correct
alih langkah,correct
alih nama,correct
ambil bagian,correct
ambil berat,correct
ambil hati,correct
ambil pusing,correct
angkat bahu,correct
angkat bicara,correct
angkat diri,correct
angkat kaki,correct
angkat kening,correct
angkat mata,correct
angkat sembah,correct
angkat sumpah,correct
angkat tangan,correct
angkat topi,correct
balas budi,correct
balik adab,correct
balik arah,correct
balik belah,correct
balik gagang,correct
balik mata,correct
banting tulang,correct
basuh mulut,correct
bawa diri,correct
bawa nasib,correct
buang air,correct
buang aksi,correct
buang diri,correct
buka praktek,correct
buka puasa,correct
buka suara,correct
bunuh diri,correct
cemar kaki,correct
cuci gudang,correct
cuci mata,correct
cuci muka,correct
cuci mulut,correct
cuci tangan,correct
dapat angin,correct
diam diri,correct
genggam-gemggam bara,correct
goyang kaki,correct
goyang kepala,correct
goyang lidah,correct
goyang pinggul,correct
gulung tikar,correct
hisap darah,correct
jalan kaki,correct
jawat tangan,correct
jejak bahu,correct
jejak bara,correct
keras batang leher,correct
keras laku,correct
lintas batas,correct
lintas budaya,correct
lintas sektoral,correct
lupa daratan,correct
main api,correct
main hakim sendiri,correct
main kartu,correct
main kayu,correct
main mata,correct
makan angin,correct
makan duit,correct
makan jangat,correct
makan suap,correct
menang angka,correct
menang lotre,correct
menang suara,correct
minta ampun,correct
minta diri,correct
mohon ampun,correct
mohon diri,correct
naik kapal,correct
naik kuda hijau,correct
naik pelamin,correct
naik takhta,correct
pacu jantung,correct
pandang bulu,correct
pasang aksi,correct
pasang kuda-kuda,correct
percaya angin,correct
(tidak) pandang bulu,correct
pilih kasih,correct
pilih-pilih ruas,correct
pilih-pilih tebu,correct
pindah buku,correct
pindah darah,correct
pindah rumah,correct
pindah tangan,correct
potong jalan,correct
potong kompas,correct
sentuh landas,correct
tahan diri,correct
tahan harga,correct
tahan hati,correct
tahan napas,correct
tahan sabar,correct
tahu adat ,correct
tahu aturan,correct
tahu balas,correct
tahu batas,correct
tahu diri,correct
tamat quran,correct
tangkap muka,correct
tangkap tangan,correct
tarik muka dua belas,correct
tarik suara,correct
tarik urat,correct
taruh hati,correct
tekuk lutut,correct
tenggang hati,correct
tenggang rasa,correct
terima kasih,correct
tidak tahu malu,correct
tinggal landas,correct
tolak angin,correct
tolak pinggang,correct
tukar cincin,correct
tunjuk hidung,correct
turun gunung,correct
turun ranjang,correct
turun tanah,correct
turun tangga,correct
unjuk diri,correct
unjuk gigi,correct
asal beli,correct
asal jadi,correct
baik sangka,correct
buruk ambil,correct
buruk laku,correct
buruk sangka,correct
imbal beli,correct
kalah kuat,correct
kalah pandai,correct
kalah tinggi,correct
kurang cerap,correct
kurang ingat,correct
kurang jadi,correct
kurang makan,correct
kurang periksa,correct
kurang pikir,correct
kurang tanggap,correct
kurang terima,correct
kurang tilik,correct
pandai jatuh,correct
pendek kira-kira,correct
salah rasa,correct
salah sangka,correct
salah sebut,correct
salah tafsir,correct
salah tampa,correct
salah tebak,correct
salah terima,correct
salah ucap,correct
sama kuat,correct
sama mudah,correct
sama tinggi,correct
salah agak,correct
salah ambil,correct
salah baca,correct
salah bikin,correct
salah dengar,correct
salah bidik,correct
salah dorong,correct
salah duga,correct
salah eja,correct
salah guna,correct
salah hitung,correct
salah jamah,correct
salah kena,correct
salah kira,correct
salah lihat,correct
salah mengerti,correct
salah pakai,correct
salah pilih,correct
salah raba,correct
ada angin,correct
ada hati,correct
atas angin,correct
atas pagar,correct
awet muda,correct
bau bangkai,correct
bau minyak,correct
bawah angin,correct
bawah tanah,correct
berak darah,correct
berani mati,correct
berat anak,correct
berat istri,correct
berat sebelah,correct
berat suami,correct
buta huruf,correct
buta kayu,correct
buta malam,correct
buta politik,correct
buta siang,correct
buta warna,correct
cerai susu,correct
dalam kota,correct
dalam negeri,correct
gila pangkat,correct
habis tempo,correct
hampa udara,correct
haus buku,correct
haus darah,correct
haus uang,correct
jatuh tempo,correct
jauh hari,correct
jauh malam,correct
kalah suara,correct
kering embun,correct
laik laut,correct
laik udara,correct
layak laut,correct
layak udara,correct
lepas landas,correct
lepas pantai,correct
lolos butuh,correct
luar biasa,correct
luar kota,correct
luar negeri,correct
melek huruf,correct
mogok kuliah,correct
mogok makan,correct
naik apel,correct
naik banding,correct
naik nobat,correct
peka cahaya,correct
puas diri,correct
salah air,correct
salah angkuh,correct
salah rupa,correct
sama tengah,correct
sesat air,correct
siap pakai,correct
siap tempur,correct
terang bulan,correct
terang cuaca,correct
terang hari,correct
terang tanah,correct
terang terbang lalat,correct
tinggi hari,correct
busung darah,correct
busung lapar,correct
cerai mati,correct
cerai tembilang,correct
mabuk asmara,correct
mabuk birahi,correct
mabuk bunga raya,correct
mabuk bunga selasih,correct
mabuk darah,correct
mabuk durian,correct
mabuk gadung,correct
mabuk kepayang,correct
mabuk laut,correct
mabuk ombak,correct
mabuk udara,correct
mandi angin,correct
mandi darah,correct
mandi keringat,correct
mandi ombak,correct
mandi peluh,correct
masak tangan,correct
gagal total,correct
harap-harap cemas,correct
kawin lari,correct
kawin paksa,correct
kawin tamasya,correct
keras-keras lemah,correct
mati seladang,correct
mati syahid,correct
mogok duduk,correct
nikah tamasya,correct
terima salah,correct
kembar lima,correct
kembar tiga,correct
lipat banyak,correct
lipat dua,correct
lipat tiga,correct
kedap air,correct
kedap suara,correct
tahan air,correct
tahan api,correct
tahan besi,correct
tahan cuci,correct
tahan gelombang,correct
tahan hina,correct
tahan kias,correct
tahan lama,correct
tahan lapar,correct
tahan lasak,correct
tahan palu,correct
tahan peluru,correct
tahan sesah,correct
tahan tangan,correct
tahan tembak,correct
tahan uji,correct
bodoh-bodoh sepat,correct
bulat telur,correct
bulat torak,correct
bunting kerbau,correct
buta ayam,correct
cabik-cabik bulu ayam,correct
carik-carik bulu ayam,correct
diam-diam lepu,correct
hangat-hangat kuku,correct
hangat-hangat tahi ayam,correct
hijau lumut,correct
hitam-hitam gula jawa,correct
hitam manggis,correct
jinak-jinak merpati,correct
juling air,correct
keras-keras kerak,correct
keruh-keruh kerak,correct
kesat-kesat daun pisang,correct
kuning gading,correct
kuning langsat,correct
lari-lari anjing,correct
layu bunga,correct
lepas angin,correct
lipat kajang,correct
luas-luas daun lalang,correct
lurus-lurus ekor anjing,correct
lurus tabung,correct
mabuk empat tiang,correct
malu-malu kucing,correct
mati katak,correct
mati kutu,correct
merdeka ayam,correct
nyengir kuda,correct
patah arang,correct
patah batu,correct
pekak badak,correct
pekak batu,correct
pekak labang,correct
pening-pening lalat,correct
putih salju,correct
putus arang,correct
sakit kaki gajah,correct
sakit kuning,correct
silu-silu asam,correct
suam-suam kuku,correct
terang-terang kain,correct
tidur-tidur ayam,correct
tua-tua keladi,correct
tua-tua kelapa,correct
banjir uang,correct
lut sinar,correct
masuk angin,correct
penuh air,correct
tembus cahaya,correct
tembus mata,correct
tembus pandang,correct
balik belakang,correct
balik kerak,correct
belok kiri,correct
hadap kanan,correct
hadap kiri,correct
masuk desa,correct
masuk kerja,correct
masuk perangkap,correct
masuk sekolah,correct
masuk suluk,correct
naik darat,correct
pulang kampung,correct
pulang kandang,correct
pulang kantor,correct
turun kandang,correct
jatuh cinta,correct
jatuh melarat,correct
jatuh miskin,correct
jatuh pailit,correct
jatuh sakit,correct
masuk belanda,correct
masuk islam,correct
masuk kompeni,correct
masuk kristen,correct
masuk tentara,correct
naik besar,correct
naik gembira,correct
naik geram,correct
naik haji,correct
naik marah,correct
naik mempelai,correct
naik pitam,correct
naik raja,correct
naik saksi,correct
pergi haji,correct
bagi rata,correct
beri tahu,correct
bumi hangus,correct
pukul mundur,correct
tembak jatuh,correct
tembak mati,correct
tahu ada,correct
tahu beres,correct
tahu jadi,correct
tahu dia,correct
tangkap basar,correct
kepala angin,correct
kepala batu,correct
kepala udang,correct
mata biji saga,correct
mata kelemayar,correct
